id,answer,gpt-4o_en,gpt-4o_xh,gpt-4o_zu,gpt-4o_af,gpt-4o_ig,gpt-4o_sn,gpt-4o_ts,gpt-4o_st,gpt-4o_nso,gpt-4o_tn,gpt-4o_bm,gpt-4o_am,gpt-4_en,gpt-4_xh,gpt-4_zu,gpt-4_af,gpt-4_ig,gpt-4_sn,gpt-4_ts,gpt-4_st,gpt-4_nso,gpt-4_tn,gpt-4_bm,gpt-4_am,gpt-3.5_en,gpt-3.5_xh,gpt-3.5_zu,gpt-3.5_af,gpt-3.5_ig,gpt-3.5_sn,gpt-3.5_ts,gpt-3.5_st,gpt-3.5_nso,gpt-3.5_tn,gpt-3.5_bm,gpt-3.5_am
302OLP89DZ5MCAWZNC1Z2EMR54LACJ-1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1
302U8RURJ1F4PRVV7VD96AIODKDVNB-1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0
302U8RURJ1F4PRVV7VD96AIODKDVNB-2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
302U8RURJ1F4PRVV7VD96AIODUYNV8-2,2,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0
302U8RURJZZPV2WONX19ECUGK08VNQ-1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
302U8RURJZZPV2WONX19ECUGK08VNQ-2,2,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1
302U8RURJZZPV2WONX19ECUGK33NVJ-2,2,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1
304QEQWKZRY6EBUR5DPX06S39EN0OH-1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
304QEQWKZRY6EBUR5DPX06S39IHO07-2,2,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1
304QEQWKZRY6EBUR5DPX06S39KU0O0-2,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1
304QEQWKZRY6EBUR5DPX06S4BXR0OR-2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1
306996CF6WI78HRTDTCBGTN6E5EB1F-1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
306996CF6WI78HRTDTCBGTN6E5EB1F-2,2,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
306996CF6WI78HRTDTCBGTN6E5VB1W-2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1
306996CF6YYM26Q0XROB8RBE7H1B12-1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1
306996CF6YYM26Q0XROB8RBE7H1B12-2,2,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1
306996CF6YYM26Q0XROB8RBF8LL1BN-1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0
306996CF6YYM26Q0XROB8RBF8LL1BN-2,2,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1
306W7JMRY0C4D6ALWCXQN1YMLN7B8M-2,2,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1
307FVKVSYRD1Y4LMNUJX9P8D70C47G-2,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0
307FVKVSYRD1Y4LMNUJX9P8DCJB47M-1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1
307FVKVSYRD1Y4LMNUJX9P8DCJB47M-2,2,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0
307L9TDWJYQ5JTU53NV3VH2XYVF3N0-1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1
307L9TDWJYQ5JTU53NV3VH2XYVF3N0-2,2,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
3087LXLJ6OUC8YHY6A67DCJQIOA0FY-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
308KJXFUJTKISGXHTW8PJMA3HSYATQ-1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1
309D674SH1Z6P90YDODVPNU5BZXBC3-1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1
309D674SH1Z6P90YDODVPNU6CMHBC0-1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
309D674SH1Z6P90YDODVPNU6CMHBC0-2,2,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1
309D674SH1Z6P90YDODVPNU6DJPBC3-1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1
309D674SH1Z6P90YDODVPNU6DJPBC3-2,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0
309D674SHZJRVK1RTQ1VXP6XI0UBCQ-1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0
309D674SHZJRVK1RTQ1VXP6XI0UBCQ-2,2,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1
309D674SHZJRVK1RTQ1VXP6XI5LBCR-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1
309D674SHZJRVK1RTQ1VXP6XNJNCBR-1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1
30EMX9PEVMXNPTTOGNGO3VHELF6SKH-1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1
30EMX9PEVMXNPTTOGNGO3VHEMGJKSP-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1
30EV7DWJTVTYSBL1TR2CJ0CO7PBY6E-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0
30EV7DWJTVTYSBL1TR2CJ0CO7PBY6E-2,2,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
30EV7DWJTVTYSBL1TR2CJ0CO7QQY6V-1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
30EV7DWJTVTYSBL1TR2CJ0COC9Q6YA-2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1
30EV7DWJTX9DM0K8DPECBY0X19OY6A-1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0
30EV7DWJTX9DM0K8DPECBY0X19OY6A-2,2,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1
30F94FBDNRI8H132FCWLMZ616SIBT9-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1
30F94FBDNRI8H132FCWLMZ616SIBT9-2,2,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0
30F94FBDNRI8H132FCWLMZ616TBBT4-2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
30F94FBDNRI8H132FCWLMZ61B5VBTH-1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
30F94FBDNTYNBQ29ZA8LEXU9ZUVBT2-1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
30IRMPJWDZHWUPU4H04JLNO9AF5RK4-1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1
30OITAWPBQ1ZOZXAHY10HA8N7U79H2-2,2,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0
30OITAWPBSHEIOWH1WD098WV068H9B-1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
30OITAWPBSHEIOWH1WD098WV0Q79H6-2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0
30OITAWPBSHEIOWH1WD098WW2GCH93-2,2,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1
30P8I9JKOKZ0Z2PP3VHNCTI2MZD5VV-1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
30P8I9JKOKZ0Z2PP3VHNCTI2MZD5VV-2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
30P8I9JKOKZ0Z2PP3VHNCTI3OX7V5F-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1
30P8I9JKOKZ0Z2PP3VHNCTI3OX7V5F-2,2,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0
