Fine-Tuning Dataset (language),winogrande (en),winogrande (af),winogrande (zu),winogrande (xh),winogrande (am),winogrande (bm),winogrande (ig),winogrande (nso),winogrande (sn),winogrande (st),winogrande (tn),winogrande (ts),mmlu-clinical_knowledge (en),mmlu-clinical_knowledge (af),mmlu-clinical_knowledge (zu),mmlu-clinical_knowledge (xh),mmlu-clinical_knowledge (am),mmlu-clinical_knowledge (bm),mmlu-clinical_knowledge (ig),mmlu-clinical_knowledge (nso),mmlu-clinical_knowledge (sn),mmlu-clinical_knowledge (st),mmlu-clinical_knowledge (tn),mmlu-clinical_knowledge (ts),mmlu-virology (en),mmlu-virology (af),mmlu-virology (zu),mmlu-virology (xh),mmlu-virology (am),mmlu-virology (bm),mmlu-virology (ig),mmlu-virology (nso),mmlu-virology (sn),mmlu-virology (st),mmlu-virology (tn),mmlu-virology (ts),belebele (en),belebele (af),belebele (zu),belebele (xh),belebele (am),belebele (bm),belebele (ig),belebele (nso),belebele (sn),belebele (st),belebele (tn),belebele (ts)
Base Llama 3 70B IT (N/A),61.2,51.0,50.4,50.8,50.8,50.5,50.5,50.5,50.4,50.4,50.5,50.4,82.3,71.3,39.2,38.5,33.6,32.5,33.6,37.0,43.4,43.8,39.2,34.0,53.6,46.4,28.9,27.1,36.1,35.5,34.9,26.5,31.3,29.5,28.3,31.3,94.6,84.8,36.7,36.8,35.1,35.6,35.9,37.1,38.1,35.9,36.4,40.7
winogrande (en),0.3,1.6,0.8,1.8,0.9,0.7,0.9,1.2,1.5,0.6,0.9,0.6,0.8,0.8,4.4,1.7,2.3,1.9,1.8,0.8,2.5,1.3,2.1,2.9,2.1,2.4,3.4,3.3,3.1,5.2,1.0,2.1,1.9,3.3,2.1,7.0,0.3,0.4,1.5,0.4,1.2,1.3,1.3,0.5,2.0,0.2,1.4,1.2
winogrande (af),0.2,0.9,1.1,1.1,1.6,1.1,0.5,1.2,1.2,0.1,1.2,0.9,0.8,0.8,3.3,2.2,1.3,1.5,2.2,3.6,2.5,1.9,1.0,2.7,0.6,1.9,1.2,3.9,2.3,0.9,3.1,1.5,1.9,1.8,3.0,1.2,0.1,0.3,2.2,0.4,1.1,0.8,0.3,1.4,1.0,0.8,0.2,1.0
winogrande (zu),0.9,0.5,0.9,0.3,0.5,0.7,0.7,0.6,1.9,1.3,0.3,0.8,2.3,0.8,3.5,2.3,3.0,2.3,0.6,0.2,0.6,2.6,1.5,2.1,3.0,1.5,3.1,1.9,5.1,3.3,0.9,6.4,5.3,2.7,2.7,2.3,0.3,0.7,0.9,0.3,1.5,1.2,1.5,1.2,1.3,0.3,1.2,1.1
winogrande (xh),1.1,0.5,1.4,0.3,1.0,0.4,0.2,2.0,0.4,1.8,0.8,2.2,0.7,2.3,3.3,2.9,0.4,1.9,3.1,3.0,1.7,2.5,3.6,0.4,1.6,2.7,3.2,2.3,4.3,1.2,2.8,1.5,3.0,1.9,2.5,1.6,0.4,0.1,0.7,1.6,1.1,2.5,0.6,1.5,2.0,0.6,0.8,1.3
winogrande (am),0.7,0.6,1.5,1.4,1.5,1.4,1.2,1.0,0.3,1.5,0.8,0.5,0.8,1.7,3.0,1.2,2.0,2.9,0.8,5.5,1.3,0.4,1.7,2.5,0.7,0.9,4.1,3.1,2.6,1.5,2.2,3.3,2.2,2.2,0.9,3.7,0.5,0.4,1.9,0.9,2.0,0.9,0.8,0.7,1.1,1.3,1.0,1.1
winogrande (bm),0.9,1.2,0.5,1.3,0.6,2.4,2.1,0.5,1.2,1.0,1.1,1.6,1.4,1.7,2.6,3.6,1.9,1.9,2.9,1.4,2.1,2.3,3.5,0.8,2.7,0.3,4.9,1.2,3.6,5.7,3.5,0.9,0.9,6.1,3.3,3.3,0.5,0.3,0.8,1.1,1.8,0.3,2.7,1.2,0.5,1.2,0.6,1.8
winogrande (ig),0.9,0.3,1.1,2.0,0.6,0.8,1.2,1.1,1.0,2.2,0.7,1.0,1.4,1.2,2.3,2.0,5.3,1.3,1.7,3.0,1.8,1.3,1.9,2.5,1.5,2.6,1.6,2.4,2.4,5.5,1.5,3.2,3.0,4.7,1.0,1.2,0.2,0.1,1.4,0.3,0.3,0.8,1.8,0.4,2.8,1.3,0.4,1.7
winogrande (nso),1.3,0.4,1.9,1.2,0.7,1.4,1.2,1.1,1.2,1.5,1.0,0.3,0.6,1.2,0.9,2.0,1.2,1.4,2.9,2.3,0.6,1.9,1.0,1.6,1.6,2.3,2.9,6.4,2.1,2.7,0.6,1.8,3.1,2.4,1.2,1.8,0.2,1.0,1.0,0.6,0.1,0.5,1.0,0.7,1.0,1.2,1.4,1.5
winogrande (sn),1.2,0.3,1.5,1.0,1.2,1.4,1.2,1.0,0.4,0.5,0.9,1.0,1.5,1.2,2.7,3.1,0.8,2.1,1.1,1.9,2.3,1.2,1.6,3.6,1.6,0.6,2.5,3.3,0.9,3.3,3.2,3.6,1.5,0.6,0.6,3.0,0.3,0.5,1.6,1.1,1.1,1.6,0.8,1.5,0.8,0.4,1.0,1.2
winogrande (st),1.7,0.9,0.3,1.5,1.4,1.6,1.4,0.7,1.2,1.2,0.9,1.3,1.0,2.7,3.9,0.5,1.1,1.2,1.1,2.4,0.6,2.9,0.5,2.0,1.5,1.2,3.7,3.4,2.1,4.7,2.2,1.5,1.3,3.4,1.5,1.2,0.2,0.4,2.3,1.1,0.4,1.2,0.3,0.7,3.0,0.6,0.7,2.4
winogrande (tn),1.2,0.6,0.6,0.9,0.8,2.1,0.4,1.7,1.5,0.8,2.8,0.6,1.9,0.2,2.0,2.3,2.0,0.6,2.6,3.0,1.4,3.0,1.9,4.8,0.7,1.6,0.6,1.6,7.3,2.2,0.7,1.0,1.6,0.3,1.4,3.3,0.2,0.2,1.6,1.5,1.0,0.9,1.1,1.2,0.5,0.9,0.4,0.2
winogrande (ts),1.4,0.7,1.7,1.1,0.5,0.6,0.8,1.6,0.5,0.1,1.4,1.1,1.3,1.9,3.3,4.1,2.3,2.9,1.1,3.2,2.1,0.9,1.4,0.5,2.2,2.4,2.3,4.0,1.8,2.8,4.0,2.4,0.9,3.9,1.2,2.8,0.8,0.3,0.8,0.6,1.0,0.9,0.7,1.7,0.7,0.7,1.8,0.9
mmlu-college_medicine (en),0.5,0.4,0.2,0.2,0.2,0.1,0.6,0.3,0.3,0.2,0.3,0.3,1.0,1.6,2.8,1.7,1.1,3.0,2.5,1.7,1.3,1.0,1.9,0.5,1.8,0.7,0.9,3.1,3.0,2.2,3.1,2.4,1.2,0.9,0.9,0.6,0.2,0.5,1.3,0.7,1.2,0.5,0.8,0.6,2.7,1.7,1.1,0.5
mmlu-college_medicine (af),0.1,0.6,0.2,0.3,0.9,0.4,0.9,0.8,0.1,0.7,0.4,0.6,2.0,1.7,2.6,2.2,2.0,1.9,1.4,1.7,2.1,1.7,2.9,4.4,1.8,0.9,3.0,4.8,1.2,2.6,0.3,1.2,2.8,5.1,0.9,1.9,0.1,0.5,0.1,1.5,1.1,1.2,1.4,1.2,2.2,0.5,1.4,0.5
