qID,Sentence,Option1,Option2,Answer
3QHITW7OYO7Q6B6ISU2UMJB84ZLAQE-2,_ አንጀት መብላትን ስለናቀ ኢያን ጎድጓዳ ሳህን ከያዘ በኋላ የዴኒስ ሜኑዶን ለመብላት ፈቃደኛ ሆነ.,ኢያን,ዴኒስ,2
3QHITW7OYO7Q6B6ISU2UMJB84ZLAQE-1,ኢየን አንጀት መብላት ስለወደደ _ ጎድጓዳ ሳህን ከያዘ በኋላ የዴኒስ ሜኑዶን ለመብላት ፈቃደኛ ሆነ.,ኢያን,ዴኒስ,1
3XWUWJ18TLO2DDRXF83QWLKRJ29UU4-1,"ወደ መኖሪያዬ ፈጽሞ አይመጣም, ነገር ግን _ ትንሽ ስለሆነ ሁልጊዜ ወደ ቤቱ እሄዳለሁ.",መኖሪያዬ,ቤቱ,1
3XWUWJ18TLO2DDRXF83QWLKRJ29UU4-2,"ወደ መኖሪያዬ ፈጽሞ አይመጣም, ነገር ግን _ ትልቅ ስለሆነ ሁልጊዜ ወደ ቤቱ እሄዳለሁ.",መኖሪያዬ,ቤቱ,2
3D5G8J4N5CI2K40F4RZLF9OG2CKVTH-2,"ካይል አልጋ ላይ የእግር ማሞቂያዎችን አይለብስም, ሎጋን ግን ሁልጊዜ ይለብሳል ማለት ይቻላል. _ ይበልጥ ቀዝቃዛ በሆነ የአየር ጠባይ ውስጥ የመኖር ዕድሉ ከፍተኛ ነው.",ካይል,ሎጋን,2
3D5G8J4N5CI2K40F4RZLF9OG2CKVTH-1,"ካይል አልጋ ላይ የእግር ማሞቂያዎችን አይለብስም, ሎጋን ግን ሁልጊዜ ይለብሳል ማለት ይቻላል. _ በሞቃታማ የአየር ጠባይ ውስጥ የመኖር ዕድሉ ከፍተኛ ነው.",ካይል,ሎጋን,1
3DW3BNF1GHG4SV9KHVCQWF4L0K98VE-2,ጂፒኤስ እና ካርታው ወደ ቤት እንድሄድ ረድቶኛል. _ ሲገለበጥ ጠፋሁ.,ጂፒኤስ,ካርታው,2
3DW3BNF1GHG4SV9KHVCQWF4L0K98VE-1,ጂፒኤስ እና ካርታው ወደ ቤት እንድሄድ ረድቶኛል. _ ሲጠፋ ጠፋሁ.,ጂፒኤስ,ካርታው,1
3DTJ4WT8BFTH45NSFTZT1T1BND3ZEV-2,_ ከመወጣጫ ላይ ስለነበረች ኤሚሊ ቀና ብላ ተመለከተች እና ፓትሪሺያ ከፊት ስትሽቀዳደም እንዳለች አየች.,ኤሚሊ,ፓትሪሺያ,2
3DTJ4WT8BFTH45NSFTZT1T1BND3ZEV-1,_ ከመወጣጫ ስር ስለነበረች ኤሚሊ ቀና ብላ ተመለከተች እና ፓትሪሺያ ከፊት ስትሽቀዳደም እንዳለች አየች.,ኤሚሊ,ፓትሪሺያ,1
304QEQWKZRY6EBUR5DPX06S39IH0OJ-2,የግምጃ ቤት ሰራተኞች የወርቅ አሞሌዎቹን ከመጫኛው ላይ አውጥተው _ ባዶ እስኪሆን ድረስ በካዝናው ውስጥ ደረደሩዋቸው.,ካዝናው,መጫኛው,2
304QEQWKZRY6EBUR5DPX06S39IH0OJ-1,የግምጃ ቤት ሰራተኞች የወርቅ አሞሌዎቹን ከመጫኛው ላይ አውጥተው _ እስኪሞላ ድረስ በካዝናው ውስጥ ደረደሩዋቸው.,ካዝናው,መጫኛው,1
36FFXPMSTB2HPB0N3LWI6YRLWWHHOX-1,"እሱ ወደ መደብሩ የሚያደርሰው ማራኪውን መንገድ  ለመውሰድ ጊዜ እንዳለው አሰበ, ነገር ግን _ በመገንባት ላይ ነበር.",መንገዱ,መደብሩ,1
36FFXPMSTB2HPB0N3LWI6YRLWWHHOX-2,"እሱ ወደ መደብሩ የሚያደርሰው ማራኪውን መንገድ  ለመውሰድ ጊዜ እንዳለው አሰበ, ነገር ግን _ ቀደም ብሎ ተዘግቷል.",መንገዱ,መደብሩ,2
37SOB9Z0SUBUPIQRB8ROANMHJ463L8-2,የእንጨት ወንበሯን አቧራ ማጽዳት ምን ያህል እንደሚያናድዳት አስታውሳ በምትኩ የፕላስቲክ ጠረጴዛ ገዛች. _ን ማጽዳት ፈጣን ነው.,ወንበር,ጠረጴዛ,2
37SOB9Z0SUBUPIQRB8ROANMHJ463L8-1,የእንጨት ወንበሯን አቧራ ማጽዳት ምን ያህል እንደሚያናድዳት አስታውሳ በምትኩ የፕላስቲክ ጠረጴዛ ገዛች. _ን ማጽዳት ጊዜ የሚወስድ ነው.,ወንበር,ጠረጴዛ,1
3D1UCPY6GINZAB68HJIK5I0BYMV83E-2,"የባህሪ አድሎአዊነትን ለማሸነፍ, _ ድርጊቶች በፍቃደኝነት የሚደረጉ በመሆናቸው ከንቃተ-ህሊናዊ ውጪ ያሉ ድርጊቶች ይልቅ ንቃተ-ህሊናዊ እርምጃዎችን መለወጥ ላይ የበለጠ ትኩረት ማድረግ አለብን.",ከንቃተ-ህሊናዊ ውጪ,ንቃተ-ህሊናዊ,2
